vehicle_age_years,vehicle_value,injury_score,repair_complexity,parts_cost_index,labor_hours,liability_limit,location,claim_severity
15,26328.433745892136,5.674905970842934,Low,1.073833179749178,24.396086370002656,100000,Rural,18149.29554387261
16,30474.61160926219,4.173572851568398,Low,1.1561616008438516,23.133217098039577,100000,Urban,24018.953220665644
2,31059.537894377678,1.6637841365397688,Low,1.164584712579598,23.128805814160526,25000,Urban,20722.566601519025
11,6044.26767768996,1.1920999355838031,High,0.9569644671699855,16.12164058194904,10000,Suburban,16146.37316219647
1,27106.028062572525,2.744207826564919,Low,0.9104637690164968,17.599981280607373,10000,Rural,11067.748217136768
5,20817.171464371062,0.6985743363000343,Moderate,1.164510432447151,9.789738279533506,10000,Urban,16423.68641707859
8,41772.11909733285,2.4590481792675436,High,1.0037241528587708,20.510738422127087,50000,Suburban,24969.76168488119
0,29518.794106212532,6.51358989825363,Moderate,0.986954916263086,22.070406399515,10000,Suburban,21147.563999196474
11,21292.75315154597,4.2582362279554085,Moderate,1.1642384367200835,13.837481706305867,10000,Suburban,19580.628026817412
19,32216.475375324502,4.210427879275011,Moderate,0.9714159733960843,10.996816869256227,100000,Urban,16894.140954081566
18,29263.376086613946,2.7994229862709696,Moderate,1.0074582475827707,17.99966304227546,25000,Suburban,19350.55815910903
11,33006.622494332565,3.044519990827376,High,1.063886806020279,9.645395411143028,100000,Urban,24701.122664493785
8,9386.448580629592,4.099507798854416,Low,0.9506132521775352,11.86205814635998,50000,Urban,10212.770893090552
15,24767.671091870103,2.628712389353697,Moderate,0.9851614217445492,18.60495692129868,100000,Urban,21059.518349478632
18,19113.1789351294,0.281948842290999,Moderate,1.057467907916617,19.81615475147664,100000,Urban,18352.117301780105
18,40965.35189137278,2.524850447670612,Low,1.209908267633854,22.530703949257624,10000,Suburban,18673.953347637147
0,34772.46825232093,2.766926424210806,Low,0.9649787368925422,14.481927487275716,50000,Suburban,14950.807298299611
13,25780.15717111223,2.737316657138933,Moderate,1.1090538466271433,19.899349664512894,50000,Urban,21857.307796350604
14,27063.79365934616,4.491630338899132,Moderate,0.989407588426713,16.36397631531644,10000,Rural,13942.9282496511
3,27034.33695435043,3.1859961084845634,Moderate,1.055359782117715,19.501313206473508,25000,Urban,20201.356741756215
10,23339.440886700315,4.568936294025227,Moderate,1.0771345342639618,17.71564984974011,25000,Urban,20572.13792110236
19,19302.85548205043,0.9009896374457276,High,1.1674097991611723,11.881313523608746,50000,Urban,18990.516322982152
13,16222.017843131953,4.0154476109348805,High,0.9894174105965242,17.555463240170745,10000,Rural,16870.31736548168
5,38176.33399418656,5.076349834713302,Low,0.8050235090519868,22.036581372110845,50000,Urban,16032.329789307494
6,18749.986909879408,0.21082015935241213,Moderate,0.9645195482083327,25.10296660733932,25000,Rural,16111.051909656064
12,31774.64765897578,0.7127411362792562,Low,0.8202007957139256,23.652816364622367,25000,Suburban,13715.038351738012
2,35460.23057077916,0.52436309317687,Moderate,1.0157528345144986,17.033755945846053,100000,Urban,22414.55608486612
11,32898.533250118126,6.733370142064645,Low,0.9699502603693352,27.55833586616251,25000,Urban,22567.82237634134
11,27350.581955307563,2.644522700979024,Low,1.080640661783624,21.806706033311713,25000,Urban,17566.152005435262
11,33112.04272103912,1.1924236211461723,High,1.0334305390949057,17.33917631051511,50000,Suburban,24155.196162276283
15,22514.116013136158,1.3810272142588007,Moderate,1.085523760899493,16.165144395205864,50000,Suburban,18123.86771712387
10,18908.809454366055,4.395379238439293,Low,0.8827298594070381,18.307715878082163,50000,Urban,11998.242793249241
14,36058.15976604525,2.2969154460773784,Moderate,0.9820751246861659,17.127958835600843,50000,Urban,18067.95366674012
19,33565.59361272778,4.633716067910193,Moderate,1.210124058952242,15.739420627971008,50000,Urban,23676.336969735716
2,38141.7417169122,1.4567286074686312,Low,1.1448680921422674,15.356603838381952,50000,Urban,19440.17675219847
10,27971.48678892281,2.16589651845762,Low,1.0155293800259002,11.86161853948886,10000,Urban,14044.823314523846
2,10356.780740642333,1.6514572487250039,Low,0.8244312158606809,9.406780169501298,100000,Rural,5353.457270752855
15,23691.84847906539,2.6451691812143032,Moderate,0.9720271546858719,15.821458790328789,10000,Suburban,15491.05390843133
2,21720.194742289346,3.6674811668433893,High,1.0614305918066766,14.253235050149947,25000,Suburban,19955.341853739068
9,37036.87009647392,1.5266421177664788,Moderate,1.0556382839320961,19.80287095666626,25000,Urban,21247.579101381936
4,20316.905339147554,2.8623966506981096,Low,0.8398171433167219,15.485264584927426,25000,Suburban,10750.196024267152
19,36378.21120166787,2.989001184011959,Moderate,1.0965757761607038,23.925380455102893,10000,Rural,20366.211701039505
8,30162.968337376802,4.98060911471197,Moderate,0.9354653331573152,24.472622367487624,50000,Suburban,20787.448671674003
19,30644.943492527127,3.3239623612767137,Moderate,1.0696928577996119,18.93186004147452,25000,Urban,19489.546019185273
17,30430.689395961243,3.5768322723064383,Moderate,1.05298311915453,15.881924064149493,50000,Suburban,18340.717883833317
7,33601.26956387768,1.793750103284205,Low,1.1182296738138389,14.806996843017119,25000,Urban,16687.490360935743
8,18356.39743604407,1.2484291977544513,Low,1.034458378873789,21.434385355619312,50000,Urban,15204.965803921556
6,38879.986742964255,2.8291067299908965,Moderate,1.2076900198310516,16.36044556416733,25000,Suburban,25251.09585699971
16,13477.971826429513,3.1241981498204874,Low,1.0709534999136205,18.480504822518935,50000,Suburban,13776.01289847889
17,21621.446304002966,4.30623437096367,Moderate,1.0960765642287316,21.946742331413873,100000,Suburban,22197.9411897817
9,21426.01711277494,3.7097923643154918,Low,0.8703906459063594,15.267288851331216,25000,Urban,14219.509086090118
15,34740.335542095934,3.1792048953560452,Moderate,1.1183755123933625,20.181432189523317,25000,Suburban,21791.364933026885
19,20614.242598030825,6.934965700486105,Low,0.9043346840786325,27.705277159531047,50000,Rural,16067.505382005065
13,43828.08479872806,3.813574244717101,Moderate,0.9653443657564842,16.60387352398002,100000,Suburban,21667.70884815547
14,19361.93141766919,1.974187699007178,Moderate,0.9705570443896504,15.125516138126878,10000,Urban,15364.184725290806
8,51889.63115196341,2.3591044680883773,Low,0.8879470486064592,21.300410358553034,25000,Suburban,15726.016833464766
19,34030.716750054926,0.6344577483130112,Moderate,1.215216695005456,16.019940647678812,10000,Urban,20146.000200020906
7,36060.401258274454,5.821699091694228,Moderate,1.1660381539234508,13.433015196546668,25000,Urban,23397.326051772732
12,31531.461126416594,0.6440623756783821,Moderate,1.0722265277565268,19.922695747997395,50000,Suburban,22282.92128676514
2,36355.239573950144,0.9876945497077521,Moderate,0.9031731785722041,24.31282481182648,25000,Urban,20827.26810418917
12,21758.81254828122,4.274466418933188,High,1.0513415949076679,17.3798105426836,50000,Urban,19381.630798786136
12,15772.849985416236,3.6565416918793288,Moderate,1.0427019018241066,25.3482671709715,100000,Suburban,22373.639122547615
3,36174.777889501696,2.8450200049803027,Low,1.0455911190762326,18.754416879378805,100000,Urban,19741.170358934192
1,34282.31431383669,2.7443555292871036,Moderate,0.9341473166501,12.75496920369103,100000,Urban,19091.747592958447
16,26734.61220793092,4.0724205827188795,Moderate,0.9920131937736795,21.90781395525967,50000,Rural,16721.979110085296
5,25935.66971887727,1.8611918405588264,Moderate,1.0434203539043247,7.004679560401859,10000,Urban,14915.325207410759
16,26830.80173664888,2.875658503890162,Low,1.120099359697358,19.177771112868502,50000,Urban,14172.015498657098
13,29788.433812668784,3.7342016421367985,Moderate,0.9988847318204287,15.295266145050409,25000,Rural,16619.09477789327
2,36411.85730238644,1.003367794704793,Low,0.979110796366284,15.762753446565492,25000,Urban,17300.7503173904
0,25264.839663509094,2.686160525839842,Moderate,0.9881546552702574,15.300071410067126,50000,Urban,19071.31957114724
2,31232.970863421677,4.268402039740549,Low,1.0778226578463386,6.193503051552366,50000,Suburban,13195.629374975626
16,39191.86526636285,3.9079284489439403,Low,1.019562990899714,17.21678871620971,25000,Urban,19074.327437384014
9,26648.88503007183,2.0365896188620187,High,1.198860172069147,15.61516873378616,25000,Urban,24512.12985377631
