tenure_months,claim_frequency,monthly_premium,service_interactions,auto_bundle,home_bundle,payment_method,household_size,agent_visits,digital_engagement_score,churned
113,1,168.2717207297064,0,0,1,ACH,1,0,0.5921273859944237,0
75,0,181.53747443811898,5,0,0,Credit Card,4,0,0.6519135397595528,0
82,0,162.41075894822626,1,1,1,Credit Card,4,0,0.3395808017942301,0
107,1,121.16002786955039,3,0,1,ACH,4,0,0.8198333926235156,1
69,0,140.21101664525827,2,1,0,Invoice,5,0,0.7785842130114886,0
93,0,171.2613899946397,0,0,0,ACH,5,2,0.4850324364829749,0
100,2,132.7917522113654,2,1,0,ACH,5,0,0.5336602709260893,0
27,0,232.5991894207967,2,0,1,Invoice,2,0,0.39526553388520025,0
7,0,137.7309331615897,1,1,0,Credit Card,1,0,0.4077640198677664,0
36,2,127.4083192068448,3,1,1,ACH,5,0,0.446132999906856,1
34,1,179.46708224928722,3,0,0,Credit Card,4,0,0.4825469758376842,0
104,0,167.43213225126863,4,1,0,ACH,4,0,0.5675361691514069,0
109,0,144.16222844177636,2,0,1,ACH,5,0,0.6308266043428267,0
1,2,138.09267400305762,0,0,0,Credit Card,2,0,0.8544439451873305,0
60,0,157.79509321704793,2,0,0,Invoice,5,0,0.7065948052207556,0
98,1,170.06598559014427,0,0,1,Invoice,5,0,0.5889016447461153,0
16,0,167.8814195709095,0,0,0,Invoice,5,0,0.8515009896013667,0
95,0,135.9501287652481,3,0,0,Invoice,2,0,0.30478629851223027,0
15,0,157.9573965534532,2,0,1,ACH,5,1,0.9708198286311861,1
56,0,170.31855475035587,0,0,0,ACH,1,1,0.362810713023605,0
98,0,167.94910610151655,2,0,0,ACH,4,0,0.18910651687790783,0
37,0,52.40990737014889,2,0,0,Credit Card,4,2,0.09688756267431198,0
41,0,118.29209504761818,1,0,0,ACH,2,0,0.4744708319447951,0
34,0,121.72403624812631,1,1,1,ACH,5,0,0.376472856665624,0
86,2,138.09023998842963,2,0,0,ACH,2,0,0.5684951455932234,0
31,1,150.37259345479129,1,0,0,Credit Card,2,0,0.3493691853461948,0
118,0,172.64303190988022,5,0,1,Credit Card,5,0,0.5472038767627578,0
53,0,163.53055815437418,2,1,0,ACH,3,0,0.5117557739411318,0
57,0,141.191420384397,3,0,0,ACH,3,0,0.1898481802834421,0
61,2,145.69426911054583,1,1,0,Invoice,2,0,0.28742770625824476,0
70,2,197.77359851468012,4,0,0,ACH,4,1,0.48293855544142056,0
66,1,126.61708407992386,0,0,0,ACH,4,0,0.27421162133911825,0
61,0,154.1346758714132,3,1,1,Credit Card,4,1,0.6755655523024702,0
119,1,191.96497409724424,1,0,0,Credit Card,5,0,0.7399533708752517,0
97,0,155.37772602381227,0,0,1,Credit Card,5,0,0.14464306226132348,0
