annual_mileage,vehicle_age_years,repair_estimate,telematics_score,parts_delay_days,prior_major_repairs,policy_type,adjuster_experience_years,major_repair
53555.399284094565,6,3449.962347861166,89.40621636553026,10.52834729956709,0,Personal Auto,3,1
33583.24886227109,7,2207.301238141334,47.538513652875466,4.290345149929724,0,Commercial Auto,6,1
98089.21379460195,8,6119.685563717898,40.40296893180636,6.423514249808745,1,Personal Auto,17,1
12829.10094271581,10,3821.2841713450675,59.33461608262962,1.13111736111728,0,Personal Auto,8,0
58234.313233283385,13,4550.791429882504,83.5402506823742,4.154778439898082,0,Personal Auto,10,1
42131.48112042007,6,3209.3273778339767,62.695151090711335,10.471209944547763,0,Personal Auto,2,1
37909.87223057146,7,1315.7851135327294,68.16964705732728,7.9596089582433995,0,Personal Auto,10,1
66327.17624239682,0,3394.165076250241,69.78255664106932,5.39614851762692,0,Commercial Auto,12,1
8641.559987849027,2,2640.5839655010727,73.69752746608238,7.1118900762807575,1,Commercial Auto,14,0
25306.475798226937,1,3383.806215673984,75.43599717549594,10.60863424543636,0,Personal Auto,21,1
42716.797110854066,12,3240.658064092497,65.61000888823656,5.049335759470997,1,Personal Auto,8,1
79825.47673368317,13,708.119727852528,60.34863643990145,3.313346096759968,0,Personal Auto,6,1
46780.937423075615,1,4910.238223107785,73.08126229353665,11.902484055836434,1,Personal Auto,13,1
62913.76474017777,4,2935.695136715373,63.397997776896354,11.444485656274644,0,Personal Auto,21,1
7733.880699449273,5,200.0,55.979186497769525,5.565851429422909,0,Personal Auto,3,0
20222.24909584735,5,1298.2274263944678,68.15798451153516,11.366221952416527,1,Personal Auto,19,1
64390.589468484606,11,3590.945763666811,72.30525164786646,4.705144538296029,0,Personal Auto,16,1
32436.405199132667,4,3874.7695782476135,56.16057807345734,11.162197221777273,0,Personal Auto,8,1
43740.090795022465,12,2634.440355814313,86.94659294434355,8.86824639550962,1,Commercial Auto,6,1
59617.38209245807,13,3248.4250090944897,80.5561129073006,2.219849291626419,0,Personal Auto,15,1
899.6493060447808,4,1080.0179699901037,86.58318430534875,10.307544878321933,0,Personal Auto,24,0
20976.68869528104,3,2990.566768411167,62.626335234836006,5.308186746967773,0,Personal Auto,7,1
43123.183080603754,12,3691.176807084688,81.82680036119693,3.1919432633198044,0,Commercial Auto,16,1
14070.478620091737,2,1747.8899477939158,47.05788205403479,2.2761786573020277,0,Commercial Auto,3,0
30788.075595777034,3,309.32291765042737,57.891532346882194,7.416388043399673,0,Personal Auto,17,1
44151.70472644963,2,3640.00574738419,78.82848944549677,8.53426837049425,0,Commercial Auto,15,1
31697.584062181486,14,4656.636992202328,41.08202337861914,6.530889617442266,1,Commercial Auto,6,1
39624.41360986822,13,3264.7127725653772,41.37012968951538,11.407496842193995,0,Commercial Auto,21,1
45821.2896739372,6,3999.277913685458,73.88178159910001,7.954462781248408,1,Personal Auto,1,1
71603.92118209657,3,2388.01658956242,64.63643794658397,5.188138580433032,0,Personal Auto,4,1
76573.0611424043,9,3750.39217359581,61.98994775715953,10.26630037096458,0,Personal Auto,9,1
37108.616820462354,12,1613.5300640778125,30.246377688889325,6.923730349487335,0,Personal Auto,5,1
28444.967246771543,12,200.0,83.7953269814743,8.781158438245454,0,Personal Auto,3,1
62786.88701462114,0,2213.3077192862893,74.2427783207796,4.845920567448069,0,Personal Auto,14,1
55211.11829862432,4,3910.358897313861,76.5199300226738,9.609623009855776,0,Commercial Auto,13,1
49981.51874855445,9,3513.6730004147257,35.404968477829634,5.628081820572195,0,Personal Auto,8,1
26835.213368237022,12,4812.376396303127,78.39054459733717,5.735309513641249,0,Personal Auto,12,1
57899.01413312563,0,5362.888659940419,53.91957731080541,13.597263539118957,0,Commercial Auto,14,1
62444.13706404915,8,2200.297905476954,91.24587185327493,4.6637236141891485,1,Personal Auto,10,1
